surveillance,arm,lam,n,n_seeds,avg_colonoscopies_per_person,crc_death_per_100k,incidence_per_100k,screen_detected_per_100k,symptom_detected_per_100k,surveillance_detected_per_100k,life_years,life_years_disc3pct,avg_colonoscopies_per_person_sem,crc_death_per_100k_sem,incidence_per_100k_sem,screen_detected_per_100k_sem,symptom_detected_per_100k_sem,surveillance_detected_per_100k_sem,life_years_sem,life_years_disc3pct_sem,cost_per_person_usd,cost_per_person_disc3pct_usd,screening_colo_total,followup_colo_total,symptom_colo_total,high_risk_avg_colonoscopies_per_person,high_risk_crc_death_per_100k,high_risk_incidence_per_100k,high_risk_screen_detected_per_100k,high_risk_symptom_detected_per_100k,high_risk_surveillance_detected_per_100k,high_risk_life_years,high_risk_life_years_disc3pct,low_risk_avg_colonoscopies_per_person,low_risk_crc_death_per_100k,low_risk_incidence_per_100k,low_risk_screen_detected_per_100k,low_risk_symptom_detected_per_100k,low_risk_surveillance_detected_per_100k,low_risk_life_years,low_risk_life_years_disc3pct
nosurv,no_screen,,200000,3,0.04967666666666667,1912.8333333333333,4721.333333333333,0.0,4721.333333333333,0.0,37.079444583333334,21.720159049122646,0.0006004535322940845,35.9099955134747,63.75757035660767,0.0,63.75757035660767,0.0,0.010849675070339099,0.004406845562573622,2759.2742137500004,1023.797133851681,0.0,0.0,9935.333333333334,0.13510649051868315,5230.545226494364,12853.117069431799,0.0,12853.117069431799,0.0,36.535593399652086,21.53612724146211,0.02814744538299685,1076.7378455913035,2672.0107713179223,0.0,2672.0107713179223,0.0,37.216523926617604,21.766545147088806
nosurv,policy,-0.008,200000,3,5.204128333333333,690.0,2008.8333333333333,699.6666666666666,1309.1666666666667,0.0,37.2471725,21.77439619288127,0.0030978088134105903,3.7527767497325675,10.084366338270563,14.051492605571994,18.49849843756094,0.0,0.013121191292620139,0.0023825373871869324,7362.30836875,3833.341082973897,1038069.3333333334,0.0,2756.3333333333335,10.191807831476803,967.0885372296503,2996.530283635812,1258.4371882338057,1738.0930954020066,0.0,37.13671987109594,21.72696453781694,3.9471681942283876,620.1589207581497,1759.9065078886897,558.8177228169995,1201.0887850716904,0.0,37.2749494600536,21.78633106710502
nosurv,policy,-0.006,200000,3,4.445093333333333,735.8333333333334,2094.3333333333335,636.1666666666666,1458.1666666666667,0.0,37.21998875,21.764043417417724,0.0038631898880474996,5.364492313143694,5.449260908090605,7.881060278357927,9.976360948651456,0.0,0.0060969681246106555,0.0012518123035979434,6510.414172916666,3441.7883679968686,885942.6666666666,0.0,3076.0,9.287042424683234,1038.2348804242226,3145.4990738617926,1300.7954061010623,1844.703667760731,0.0,37.17010753783012,21.743831875948654,3.2248585461418457,659.5997938568358,1829.385178259027,468.67405423649035,1360.7111240225365,0.0,37.2325037621272,21.769118395038916
nosurv,policy,-0.004,200000,3,3.25466,817.5,2288.1666666666665,587.0,1701.1666666666667,0.0,37.24530791666667,21.77581480661775,0.00028155816450602485,10.774197572595991,26.034165586355517,12.741009902410928,22.363164156959346,0.0,0.012445216122680814,0.004700006570091839,5204.413391666666,2607.3445497214934,647343.3333333334,0.0,3588.6666666666665,8.074259526157281,1092.1159479707276,3376.417076337824,1275.0184542864554,2101.3986220513684,0.0,37.120273068053976,21.7271469776456,2.0400699411231167,748.2926013816799,2013.8690391453267,413.5799226784508,1600.289116466876,0.0,37.27681393877817,21.78807969302865
nosurv,policy,-0.003,200000,3,3.0914966666666666,829.5,2296.0,577.5,1718.5,0.0,37.23220375,21.77009937768376,0.0014306010780242397,15.256146302392342,2.179449471770337,8.04673846971554,9.987492177718964,0.0,0.012604995558143978,0.002709939758061174,5025.243899583333,2522.3196531124736,614665.6666666666,0.0,3633.6666666666665,7.27164508411758,1137.697618146217,3475.138420004125,1338.7784402418267,2136.3599797622974,0.0,37.11186766732532,21.725011010643797,2.038049929065163,751.8446056391758,1998.8311363409778,385.6184250341035,1613.2127113068743,0.0,37.2625117863372,21.781456083692557
nosurv,policy,-0.002,200000,3,2.6908933333333334,834.8333333333334,2342.8333333333335,619.6666666666666,1723.1666666666667,0.0,37.1994125,21.759482505755575,0.0009189864586114137,10.529060314724752,24.376103963604287,19.866918342924865,15.34419904864524,0.0,0.01270515938506874,0.004971501788268012,4571.02893125,2216.9050113680405,534549.0,0.0,3629.6666666666665,7.113464123640366,1161.6838512082247,3591.8821385227507,1429.9948752184462,2161.8872633043043,0.0,37.099412372258975,21.72500271502484,1.5763563659151438,752.459776629445,2028.0441990678257,415.469787378449,1612.5744116893766,0.0,37.224620226384324,21.768174798497416
nosurv,policy,-0.001,200000,3,2.614785,863.6666666666666,2365.1666666666665,594.1666666666666,1771.0,0.0,37.239657916666665,21.774228032057625,0.0017695856388807425,5.946520924970356,18.930428180870905,1.6414763002993509,18.86133611386007,0.0,0.015522496650244643,0.008251278697821418,4494.961225416667,2167.732555482548,519221.6666666667,0.0,3735.3333333333335,6.865174175588602,1132.7413720860493,3495.1468374912597,1371.225180598165,2123.9216568930947,0.0,37.187108343896014,21.75323165344904,1.5436441897457802,795.8604023310809,2080.4419233568565,398.3490568899178,1682.092866466939,0.0,37.25293078395939,21.77952938554976
nosurv,policy,0.0,200000,3,2.6076116666666667,867.5,2416.0,593.3333333333334,1822.6666666666667,0.0,37.23454958333333,21.77138636656851,0.0024967150640612993,15.782374134880131,5.507570547286102,5.674014843516401,5.085382100797528,0.0,0.0008615660200708767,0.0019062379589405841,4502.03574125,2182.6343285236276,517686.3333333333,0.0,3836.0,7.0640830387296125,1152.7091581065695,3641.769921753939,1420.0817083622171,2221.688213391722,0.0,37.09583644620472,21.718998578139747,1.4845305411840375,795.6509397415467,2107.144366940994,384.991139340679,1722.1532276003147,0.0,37.26951374965396,21.784590207695896
nosurv,policy,0.002,200000,3,2.196301666666667,900.3333333333334,2467.5,542.5,1925.0,0.0,37.212767916666664,21.765032636129103,0.0006632265408173457,8.58454683978398,19.37997248020062,7.910962857537212,13.250786140200601,0.0,0.02460210528691756,0.01030949341763166,4049.724583333333,1950.2613637057357,435202.3333333333,0.0,4058.0,6.4736369589190055,1194.859150604817,3623.4641029978907,1390.2775611528775,2233.186541845014,0.0,37.1537443313065,21.741028799597345,1.1183614762648575,826.11406398789,2176.1912610151317,328.8570846182088,1847.3341763969229,0.0,37.22760486699763,21.77106564965294
nosurv,policy,0.005,200000,3,1.8499416666666668,956.5,2566.8333333333335,472.1666666666667,2094.6666666666665,0.0,37.20372166666667,21.763029003258524,0.002033765664420987,12.8290035986172,26.558635339774355,14.213647588771089,33.54391814389673,0.0,0.005382516127342773,0.0037591829979364355,3688.987549583333,1774.4845139759711,365567.0,0.0,4421.333333333333,5.751654223809858,1362.9164943335165,3986.7918532633644,1344.538328428668,2642.253524834696,0.0,37.088223522023185,21.719646557180784,0.8666624306610514,854.0716351980465,2208.9457522115154,252.2826356144951,1956.6631165970205,0.0,37.23278336560646,21.77394453691075
