fpr,tpr,threshold
0.277408,0.645673,2.974477
0.279519,0.646697,2.952978
0.281467,0.649258,2.920162
0.283313,0.650794,2.887346
0.285384,0.651306,2.854530
0.287342,0.652330,2.821714
0.289341,0.654378,2.788898
0.289351,0.654378,2.783279
0.291381,0.656426,2.756082
0.293400,0.658474,2.723266
0.293410,0.658474,2.695086
0.295175,0.660010,2.690451
0.297276,0.662570,2.662498
0.297286,0.662570,2.646842
0.299295,0.663594,2.634545
0.299305,0.663594,2.623192
0.301304,0.666155,2.606592
0.301315,0.666155,2.599585
0.303110,0.667179,2.578640
0.305078,0.669739,2.550687
0.307189,0.672299,2.522734
0.309137,0.673835,2.494781
0.311085,0.675371,2.466829
0.313074,0.677419,2.438876
0.313085,0.677419,2.438474
0.315196,0.679467,2.410923
0.315206,0.679467,2.406075
0.317256,0.681004,2.382970
0.319255,0.683564,2.355018
0.319265,0.683564,2.341655
0.321438,0.684076,2.327065
0.321448,0.684076,2.307399
0.323447,0.686636,2.299112
0.323457,0.686636,2.283792
0.325334,0.689196,2.271160
0.325344,0.689196,2.259927
0.327363,0.690220,2.243207
0.327374,0.690220,2.240851
0.329311,0.691756,2.215254
0.331606,0.693292,2.187301
0.333636,0.693804,2.159349
0.335706,0.696365,2.131396
0.337644,0.698413,2.103443
0.339551,0.700973,2.075490
0.341510,0.703021,2.047538
0.343570,0.705069,2.019585
0.345528,0.706093,1.991632
0.345538,0.706093,1.973778
0.347548,0.707117,1.970668
0.347558,0.707117,1.956041
0.349465,0.709677,1.949703
0.351474,0.710189,1.928739
0.351484,0.710189,1.910154
0.353545,0.712750,1.907774
0.353555,0.712750,1.906882
0.355585,0.712750,1.886809
0.355595,0.712750,1.882772
0.357716,0.713262,1.865845
0.359929,0.715822,1.844880
0.361990,0.718894,1.823916
0.363928,0.721966,1.802951
0.365814,0.724526,1.781987
0.367824,0.727087,1.761022
0.367824,0.727599,1.758156
0.369710,0.729135,1.740058
0.371546,0.731695,1.719093
0.373443,0.732719,1.698129
0.375514,0.734255,1.677164
0.375524,0.734255,1.665726
0.377370,0.735279,1.656199
0.377380,0.735279,1.647730
0.379196,0.736815,1.635235
0.381327,0.737839,1.614270
0.383408,0.740911,1.593306
0.385448,0.742960,1.572341
0.387549,0.743984,1.551377
0.389497,0.745520,1.530412
0.389507,0.745520,1.520504
0.389517,0.745520,1.515013
0.391445,0.746032,1.509448
0.391455,0.746032,1.502637
0.391465,0.746032,1.491028
0.393332,0.749104,1.488483
0.393342,0.749104,1.488039
0.395453,0.749104,1.467518
0.395463,0.749104,1.464794
0.397422,0.749616,1.452144
0.397432,0.749616,1.447182
0.399298,0.751664,1.436770
0.399308,0.751664,1.429640
0.401297,0.753200,1.421396
0.403307,0.754736,1.406022
0.405071,0.755760,1.390648
0.406968,0.756784,1.375274
0.408926,0.757808,1.359900
0.410997,0.758321,1.344526
0.412863,0.759857,1.329152
0.414893,0.761393,1.313778
0.416780,0.762929,1.298404
0.418911,0.763441,1.283030
0.420921,0.766001,1.267656
0.420931,0.766001,1.266586
0.422889,0.767025,1.252282
0.425072,0.769585,1.236908
0.427091,0.770097,1.221534
0.429121,0.771633,1.206160
0.429131,0.771633,1.195611
0.431140,0.773682,1.190786
0.431150,0.773682,1.177907
0.433282,0.774194,1.175412
0.433292,0.774194,1.173500
0.435312,0.774194,1.160038
0.437280,0.774706,1.144664
0.439310,0.776242,1.129290
0.439320,0.776242,1.122488
0.439330,0.776242,1.119057
0.441258,0.777778,1.113916
0.441268,0.777778,1.105978
0.441278,0.777778,1.104876
0.443379,0.777778,1.098542
0.443389,0.777778,1.093066
0.443400,0.777778,1.087103
0.445562,0.779826,1.083168
0.445572,0.779826,1.080798
0.445582,0.779826,1.071752
0.447693,0.780338,1.070590
0.450070,0.780850,1.058011
0.450080,0.780850,1.047361
0.452171,0.781362,1.045432
0.454272,0.782386,1.032853
0.456281,0.784434,1.020275
0.456291,0.784434,1.015589
0.458209,0.786994,1.007696
0.458219,0.786994,1.004888
0.460340,0.787506,0.995117
0.460351,0.787506,0.994343
0.462278,0.790067,0.982539
0.464288,0.790579,0.969960
0.466389,0.791603,0.957381
0.468622,0.794163,0.944802
0.468632,0.794163,0.939446
0.468643,0.794163,0.936950
0.470703,0.795187,0.932224
0.472661,0.797235,0.919645
0.472671,0.797235,0.918181
0.472681,0.797235,0.907998
0.474650,0.799283,0.907066
0.476690,0.799795,0.894487
0.478597,0.801331,0.881909
0.478607,0.801331,0.873578
0.480443,0.802355,0.869330
0.482401,0.802355,0.856751
0.484523,0.803379,0.844173
0.484533,0.803379,0.834025
0.486491,0.804916,0.831594
0.486501,0.804916,0.819596
0.488704,0.805428,0.819015
0.490703,0.806452,0.806436
0.490714,0.806452,0.803092
0.490724,0.806452,0.797126
0.492713,0.807988,0.793858
0.492723,0.807988,0.788625
0.492733,0.807988,0.786484
0.494651,0.809012,0.781279
0.496578,0.809524,0.768700
0.498547,0.810036,0.760314
0.500688,0.810036,0.751929
0.500699,0.810036,0.743700
0.502616,0.810548,0.743543
0.504829,0.812596,0.735157
0.506808,0.814132,0.726771
0.508776,0.814644,0.718385
0.508787,0.814644,0.715334
0.510673,0.816180,0.709999
0.510684,0.816180,0.703723
0.512621,0.817716,0.701614
0.512632,0.817716,0.694116
0.514672,0.818228,0.693228
0.516671,0.819252,0.684842
0.518721,0.820789,0.676456
0.520852,0.822325,0.668070
0.520862,0.822325,0.664378
0.520873,0.822325,0.663825
0.522851,0.822325,0.659684
0.524861,0.822837,0.651299
0.526992,0.823861,0.642913
0.527002,0.823861,0.634867
0.528879,0.826933,0.634527
0.530735,0.827445,0.626141
0.532979,0.828469,0.617755
0.534856,0.830005,0.609370
0.536753,0.831541,0.600984
0.536763,0.831541,0.595208
0.538670,0.831541,0.592598
0.538680,0.831541,0.585640
0.540690,0.832565,0.584212
0.542699,0.833077,0.575826
0.544718,0.835125,0.567440
0.544729,0.835125,0.565093
0.544739,0.835125,0.562249
0.546534,0.836150,0.559055
0.546544,0.836150,0.556735
0.546554,0.836150,0.556368
0.548451,0.836150,0.553464
0.548461,0.836150,0.551586
0.548472,0.836150,0.550356
0.550664,0.836662,0.547874
0.552755,0.838198,0.542283
0.554887,0.838710,0.536692
0.554897,0.838710,0.531961
0.556815,0.840246,0.531102
0.558865,0.841782,0.525511
0.560884,0.843830,0.519921
0.560894,0.843830,0.517763
0.563026,0.844342,0.514330
0.563036,0.844342,0.510755
0.564974,0.845366,0.508740
0.567034,0.845878,0.503149
0.569196,0.845878,0.497559
0.569207,0.845878,0.497024
0.569217,0.845878,0.493338
0.571461,0.845878,0.491968
0.573409,0.846390,0.486378
0.575316,0.846902,0.480787
0.575326,0.846902,0.479157
0.575336,0.846902,0.477727
0.577366,0.847414,0.475196
0.579314,0.848950,0.469606
0.581344,0.850486,0.464015
0.583322,0.850998,0.458425
0.585281,0.851510,0.452834
0.585291,0.851510,0.449857
0.587188,0.852023,0.447244
0.587198,0.852023,0.445075
0.589462,0.853047,0.441653
0.589472,0.853047,0.438320
0.591380,0.854071,0.436063
0.593389,0.855095,0.430472
0.593399,0.855095,0.425355
0.595521,0.855095,0.424882
0.597509,0.855607,0.419291
0.599468,0.856631,0.415098
0.601405,0.858679,0.410905
0.601416,0.858679,0.409630
0.601426,0.858679,0.408880
0.603252,0.859191,0.406712
0.603262,0.859191,0.406024
0.603272,0.859191,0.404114
0.605455,0.859191,0.402519
0.607535,0.859191,0.398326
0.607545,0.859191,0.394801
0.609544,0.859703,0.394134
0.609555,0.859703,0.391247
0.611574,0.860215,0.389941
0.613471,0.860215,0.385748
0.613481,0.860215,0.384107
0.615623,0.860215,0.381555
0.617643,0.861239,0.377362
0.617653,0.861239,0.374509
0.619631,0.862775,0.373169
0.621722,0.864311,0.368976
0.623793,0.865847,0.364783
0.623803,0.865847,0.364198
0.623813,0.865847,0.362254
0.625924,0.866359,0.360590
0.628066,0.868408,0.356397
0.630147,0.869432,0.352204
0.632309,0.871480,0.348012
0.632319,0.871480,0.344020
0.634379,0.872504,0.343819
0.634390,0.872504,0.339930
0.636307,0.873528,0.339626
0.638418,0.874040,0.335433
0.640275,0.875576,0.331240
0.642345,0.877112,0.327047
0.642355,0.877112,0.324866
0.644466,0.877624,0.322854
0.646557,0.880696,0.318661
0.646567,0.880696,0.315159
0.648495,0.882744,0.314468
0.648505,0.882744,0.310356
0.650596,0.884793,0.310275
0.652626,0.885305,0.306082
0.652636,0.885305,0.304873
0.652646,0.885305,0.304417
0.654768,0.886329,0.301890
0.656787,0.888377,0.297697
0.658725,0.889913,0.293504
0.658735,0.889913,0.290388
0.660693,0.891961,0.289311
0.662743,0.891961,0.285118
0.664732,0.893497,0.280925
0.664742,0.893497,0.280127
0.666731,0.894009,0.276732
0.668812,0.894009,0.272539
0.670893,0.895033,0.268346
0.670903,0.895033,0.268330
0.672902,0.895545,0.264153
0.672912,0.895545,0.260583
0.674972,0.896569,0.259960
0.674982,0.896569,0.255985
0.676992,0.896569,0.255768
0.679031,0.897593,0.251575
0.679042,0.897593,0.250534
0.679052,0.897593,0.249960
0.681102,0.899130,0.247382
0.683009,0.900666,0.243189
0.685039,0.901178,0.238996
0.687119,0.901178,0.234803
0.689078,0.901178,0.230610
0.689088,0.901178,0.228004
0.691118,0.901690,0.226417
0.691128,0.901690,0.225819
0.693035,0.902714,0.222224
0.694881,0.903738,0.218031
0.694891,0.903738,0.217278
0.696972,0.904250,0.213838
0.696982,0.904250,0.213750
0.698910,0.905786,0.209645
0.700960,0.906298,0.208248
0.700970,0.906298,0.207027
0.703010,0.907834,0.206850
0.705141,0.908346,0.205453
0.707181,0.908346,0.204055
0.709252,0.908858,0.202657
0.711139,0.910394,0.201260
0.713148,0.910906,0.199862
0.714984,0.912442,0.198464
0.714994,0.912442,0.197188
0.716921,0.912954,0.197067
0.716932,0.912954,0.196365
0.719074,0.913466,0.195669
0.721022,0.913978,0.194271
0.721032,0.913978,0.194005
0.722980,0.913978,0.192874
0.725020,0.914491,0.191476
0.725030,0.914491,0.190561
0.726947,0.915003,0.190079
0.728926,0.915003,0.188681
0.728936,0.915003,0.187363
0.730945,0.917051,0.187283
0.732965,0.918075,0.185886
0.734903,0.919099,0.184488
0.734913,0.919099,0.184300
0.734923,0.919099,0.183945
0.736891,0.920123,0.183090
0.736902,0.920123,0.182342
0.739105,0.920123,0.181693
0.739115,0.920123,0.180552
0.741043,0.921659,0.180295
0.741053,0.921659,0.179117
0.742980,0.922171,0.178897
0.744969,0.923195,0.177500
0.744979,0.923195,0.177312
0.747213,0.925243,0.176102
0.749273,0.926779,0.174705
0.749284,0.926779,0.174650
0.751303,0.927803,0.173307
0.753373,0.928315,0.171909
0.755474,0.928315,0.170512
0.757412,0.928315,0.169114
0.759289,0.929339,0.167716
0.761247,0.929339,0.166319
0.763338,0.929852,0.164921
0.765286,0.930364,0.163523
0.767377,0.931388,0.162126
0.767387,0.931388,0.161017
0.769407,0.931388,0.160728
0.771426,0.932412,0.159331
